cluster,topics,aspects
124.0,"['processor', 'day', 'heat', '870', 'sd870', 'beast', 'game', 'get', 'rang', 'sd', 'sd888', 'work', 'run', 'perform', 'ths']","processor, games,heating,  performance"
125.0,"['qualiti', 'panel', 'amol', 'display,', 'one', 'use', 'ip', 'compar', 'lcd', 'super', 'experi', 'display', 'price', 'screen']","display, amoled, led, ip"
126.0,"['devic', 'disabl', 'full', 'unwant', 'bloatwar', 'lot', 'come', 'app', 'remov', 'annoy', 'softwar', 'bloatware,', 'uninstal', 'instal']",bloatware
127.0,"['seen', 'ads,', 'time', 'disabl', 'bloatwar', 'advertis', 'turn', 'app', 'get', 'first', 'show', 'set', 'everi', 'ad', 'see', 'annoy']","ads, bloatware"
128.0,"['basic', 'ask', 'accept', 'permiss', 'privaci', 'use', 'lot', 'app', 'data', 'issu', 'need', 'give', 'term']","app permissions, privacy"
129.0,"['5g', 'support', 'one', 'india', 'featur', 'futur', 'money', 'band', 'network', 'rang', 'budget', 'price', 'ths', 'wth']","5g , network"
130.0,"['sometim', 'smooth', 'time', 'day', 'use', 'even', 'stutter', 'issu', 'face', 'notic', 'month', 'work', 'perform', 'lag']",performance
131.0,"['smooth', 'play', 'day', 'user', 'game', 'high', 'normal', 'gamer', 'hardcor', 'experi', 'graphic', 'gamer,', 'usag', 'heavi', 'perform']","performance, games"
132.0,"['smooth', 'play', 'game', 'heat', 'laggi', 'high', 'even', 'issu', 'without', 'set', 'graphic', 'perform', 'lag']","performance,lag, graphics, games, heating"
133.0,"['smooth', 'play', 'bgmi', 'frame', 'game', 'pubg', 'fps', 'hd', 'cod', 'set', 'run', 'perform', 'ths', 'lag']","games, pubg, bgmi, cod ,lag, fps, performance"
134.0,"['smooth', '120hz', 'amol', 'refresh', 'super', 'rate', '120', '90hz', 'display', 'hz', 'screen']","amoled, display, refresh rate"
135.0,"['smooth', '120hz', 'refresh', '60hz', 'rate', '120', '90hz', 'display', 'hz', 'screen', 'feel']"," display, refresh rate"
136.0,"['devic', 'area', 'speed', 'network', 'ths', 'even', 'nternet', 'work', 'upload', 'fast', 'slow', 'net', 'whch', 'internet', 'download']"," internet, network"
137.0,"['time', 'connect', 'one', 'poor', 'signal', 'network', 'issu', 'show', 'recept', 'work', 'problem', 'wifi']","connectivity, network  ,signal , wifi"
138.0,"['depth', 'ultrawid', 'mode', 'len', 'camera', 'photo', 'work', 'sensor', 'wide', 'portrait', 'ultra', 'angl']","ultrawide, camera"
139.0,"['apps,', 'support', 'proper', 'one', 'dual', 'featur', 'app', 'get', 'second', 'avail', 'issu', 'activ', 'provid', 'work', 'option']",dual apps support
140.0,"['unwant', 'unnecessari', 'lot', 'applic', 'app', 'even', 'lke', 'pre', 'googl', 'remov', 'work', 'pre-instal', 'need', 'download', 'uninstal', 'instal']","unnecessary apps , pre installed apps "
141.0,"['apps,', 'instal', 'time', 'load', 'take', 'applic', 'open', 'app', 'even', 'slow', 'run', 'close', 'lag']","apps, performance, lag "
142.0,"['sometim', 'time', 'day', 'updat', 'use', 'blink', 'lot', 'softwar', 'issu', 'start', 'bright', 'flicker', 'display', 'problem', 'screen', 'low']","screen flicker , display, blinking "
143.0,"['dialer', 'dailer', 'dialer,', 'updat', 'one', 'use', 'featur', 'function', 'new', 'app', 'dialler', 'googl', 'messag', 'experi']",dialer
144.0,"['well', 'powerpack', 'complet', 'one', 'perfect', 'budget', 'packag', 'overall,', 'total', 'valu', 'overal', 'deal', 'price', 'point']",none
145.0,"['averag', 'afford', 'worth', 'look', 'offer', 'overpr', 'featur', 'money', 'compar', 'rang', 'cost', 'valu', 'need', 'give', 'price']","price, worth , money  "
146.0,"['advanc', 'rest', 'look', 'basic', 'use', 'one', 'featur', 'lot', 'new', 'miss', 'amaz', 'less', 'work', 'ok', 'whch', 'ths', 'wth']",features
147.0,"['noth', 'look', 'releas', 'one', 'model', 'suggest', 'money', 'far', 'recommend', 'total', 'wll', 'bought', 'particular', 'whch', 'ths', 'wth']",none
148.0,"['never', 'well', 'met', 'one', 'upto', 'high', 'meet', 'beyond', 'per', 'pleas', 'expect', 'live']",none
149.0,"['hear', 'call', 'qualiti', 'clear', 'speaker', 'issu', 'receiv', 'sound', 'person', 'problem', 'voic', 'low']","call , speaker, voice, sound"
150.0,"['qualiti', 'nois', 'hear', 'microphon', 'proper', 'speaker', 'mic', 'issu', 'work', 'cancel', 'problem', 'mike']","noise, microphone, speaker"
151.0,"['qualiti', 'support', 'speaker', 'stereo', 'vision', 'headphon', 'audio', 'effect', 'work', 'sound', 'dolbi', 'atmo', 'ths', 'feel']","audio, speaker , sound, dolby atmos"
152.0,"['qualiti', 'enough', 'clear', 'one', 'speaker', 'stereo', 'dual', 'volum', 'poor', 'audio', 'work', 'sound', 'loud', 'low']","speaker, stereo , volumne, audio"
153.0,"['qualiti', 'call', 'averag', 'superb', 'complaint', 'poor', 'compar', 'quality:', 'issu', 'come', 'get', 'honor', '5)', 'android', 'problem', 'decent']",call quality
154.0,"['call', 'switch', 'light', 'automat', 'turn', 'call,', 'get', 'app', 'blank', 'even', 'button', 'lock', 'touch', 'screen']","call, screen"
155.0,"['call', 'time', 'connect', 'take', 'disconnect', 'issu', 'incom', 'get', 'number', 'second', 'show', 'even', 'abl', 'problem', 'caller']",calls
156.0,"['qualiti', 'cam', 'camera', 'poor', 'money', 'camara', 'camra', 'expect', 'perform', 'ths', 'qualti']",camera
157.0,"['qualiti', '5g', 'support', 'camera', 'one', 'band', 'camara', 'wll', 'batteri', 'devc', 'perform', 'price', 'ths', 'wth']","5g, camera"
158.0,"['qualiti', 'phone', 'look', 'averag', 'phone,', 'camera', 'one', 'pictur', 'poor', 'compar', 'rang', 'flagship', 'get', 'perform', 'price']","5g, camera"
159.0,"['time', 'day', 'restart', 'switch', 'automat', 'turn', 'issu', 'get', 'reboot', 'reset', 'set', 'start', 'need']",restart issue
